"filename", "language", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\data\country_info.json", "JSON", 0, 0, 1412, 0, 0, 1412
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\data\libphonenumber-max.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\manifest.json", "JSON", 0, 0, 17, 9, 1, 27
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\classification\classification.css", "CSS", 178, 0, 0, 5, 37, 220
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\classification\classification.js", "JavaScript", 0, 95, 0, 17, 27, 139
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\company\company.css", "CSS", 320, 0, 0, 23, 71, 414
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\company\company.js", "JavaScript", 0, 429, 0, 67, 132, 628
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\new_company\new_company.css", "CSS", 320, 0, 0, 23, 71, 414
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\new_company\new_company.js", "JavaScript", 0, 415, 0, 52, 121, 588
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\products\products.css", "CSS", 46, 0, 0, 10, 11, 67
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\products\products.js", "JavaScript", 0, 81, 0, 25, 24, 130
"c:\Users\Pepega\Documents\ENF\enf_extension\enf_extension\src\service-worker.js", "JavaScript", 0, 57, 0, 2, 9, 68
"Total", "-", 864, 1078, 1429, 233, 504, 4108
